,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff,exp
3549,tnn4atf7,d7k0t6rd,15,2,3,8.4,1,0.99,-0.01,,,,,9.19,AMT
3550,tnn4atf7,qz2wmp3f,15,1,4,9.1,0,0.99,-0.02,,,,,7.890000000000001,AMT
3551,tnn4atf7,d7k0t6rd,15,2,4,9.0,0,0.99,-0.02,,,,,9.19,AMT
3552,tnn4atf7,qz2wmp3f,15,1,5,8.3,1,0.99,-0.01,,,,,7.890000000000001,AMT
3553,tnn4atf7,d7k0t6rd,15,2,5,8.2,1,0.99,-0.01,,,,,9.19,AMT
3554,tnn4atf7,qz2wmp3f,15,1,6,9.0,0,0.75,-0.58,,,,,7.890000000000001,AMT
3555,tnn4atf7,d7k0t6rd,15,2,6,9.1,0,0.99,-0.02,,,,,9.19,AMT
3556,tnn4atf7,qz2wmp3f,15,1,7,8.5,0,0.75,-0.58,,,,,7.890000000000001,AMT
3557,tnn4atf7,d7k0t6rd,15,2,7,9.0,0,0.99,-0.02,,,,,9.19,AMT
3558,tnn4atf7,qz2wmp3f,15,1,8,8.2,1,0.99,-0.01,,,,,7.890000000000001,AMT
3559,tnn4atf7,d7k0t6rd,15,2,8,8.1,1,0.99,-0.01,,,,,9.19,AMT
3560,tnn4atf7,qz2wmp3f,15,1,9,8.3,1,0.99,-0.01,,,,,7.890000000000001,AMT
3561,tnn4atf7,d7k0t6rd,15,2,9,8.2,1,0.99,-0.01,,,,,9.19,AMT
3562,tnn4atf7,qz2wmp3f,15,1,10,8.4,1,0.99,-0.01,"I knew they would arrive 10 minutes on one end or the other, I based my choices on knowing that and went with what I considered safe.",1.0,8.4,,7.890000000000001,AMT
3563,tnn4atf7,d7k0t6rd,15,2,10,8.3,1,0.99,-0.01,"To follow the rules that were outlined in the instructions, 9:00 or later, go to the office!",1.0,9.0,,9.19,AMT
3564,tnn4atf7,ijt204ql,16,1,1,8.5,1,0.99,-9.21,,,,,0.0,AMT
